in s,C1 in V
-5.9996808E+00,2.22051E-02
-5.9995890E+00,4.46660E-02
-5.9994972E+00,4.75957E-02
-5.9994054E+00,6.02910E-02
-5.9993136E+00,4.95488E-02
-5.9992218E+00,1.39043E-02
-5.9991300E+00,6.32207E-02
-5.9990382E+00,4.56426E-02
-5.9989464E+00,-5.34785E-02
-5.9988546E+00,-6.56855E-02
-5.9987628E+00,-6.56855E-02
-5.9986710E+00,-7.69160E-02
-5.9985792E+00,-9.04492E-03
-5.9984874E+00,5.49199E-02
-5.9983956E+00,5.49199E-02
-5.9983038E+00,-4.85957E-02
-5.9982120E+00,-2.51582E-02
-5.9981202E+00,-6.51973E-02
-5.9980284E+00,-5.39668E-02
-5.9979366E+00,-2.90645E-02
-5.9978448E+00,-4.51777E-02
-5.9977530E+00,3.88066E-02
-5.9976612E+00,-2.22285E-02
-5.9975694E+00,-1.68574E-02
-5.9974776E+00,6.85918E-02
-5.9973858E+00,5.49199E-02
-5.9972940E+00,-8.86348E-02
-5.9972022E+00,-3.59004E-02
-5.9971104E+00,-7.30098E-02
-5.9970186E+00,6.76152E-02
-5.9969268E+00,5.83379E-02
-5.9968350E+00,-7.83809E-02
-5.9967432E+00,5.19902E-02
-5.9966514E+00,6.66387E-02
-5.9965596E+00,7.24980E-02
-5.9964678E+00,6.90801E-02
-5.9963760E+00,6.17559E-02
-5.9962842E+00,5.00371E-02
-5.9961924E+00,-6.32441E-02
-5.9961006E+00,4.62695E-03
-5.9960088E+00,4.17363E-02
-5.9959170E+00,-8.37520E-02
-5.9958252E+00,2.22051E-02
-5.9957334E+00,7.64043E-02
-5.9956416E+00,-2.02754E-02
-5.9955498E+00,-8.13105E-02
-5.9954580E+00,-8.27754E-02
-5.9953662E+00,4.62695E-03
-5.9952744E+00,4.61309E-02
-5.9951826E+00,-4.46895E-02
-5.9950908E+00,-7.64277E-02
-5.9949990E+00,7.34746E-02
-5.9949072E+00,1.09746E-02
-5.9948154E+00,-7.20332E-02
-5.9947236E+00,6.32207E-02
-5.9946318E+00,-1.92988E-02
-5.9945400E+00,-8.17988E-02
-5.9944482E+00,-8.13105E-02
-5.9943564E+00,-4.17598E-02
-5.9942646E+00,3.19707E-02
-5.9941728E+00,2.85527E-02
-5.9940810E+00,6.41973E-02
-5.9939892E+00,7.49395E-02
-5.9938974E+00,6.02910E-02
-5.9938056E+00,-7.34980E-02
-5.9937138E+00,-7.64277E-02
-5.9936220E+00,-4.17598E-02
-5.9935302E+00,3.39238E-02
-5.9934384E+00,-2.02754E-02
-5.9933466E+00,-1.58809E-02
-5.9932548E+00,6.76152E-02
-5.9931630E+00,6.66387E-02
-5.9930712E+00,6.22441E-02
-5.9929794E+00,-6.51973E-02
-5.9928876E+00,-4.81074E-02
-5.9927958E+00,-8.13105E-02
-5.9927040E+00,4.71074E-02
-5.9926122E+00,5.29668E-02
-5.9925204E+00,1.58574E-02
-5.9924286E+00,6.81035E-02
-5.9923368E+00,-1.14863E-02
-5.9922450E+00,-5.34785E-02
-5.9921532E+00,-2.32051E-02
-5.9920614E+00,-1.19746E-02
-5.9919696E+00,-4.32246E-02
-5.9918778E+00,7.34746E-02
-5.9917860E+00,5.34551E-02
-5.9916942E+00,3.39238E-02
-5.9916024E+00,-4.71309E-02
-5.9915106E+00,-7.88691E-02
-5.9914188E+00,-5.73848E-02
-5.9913270E+00,6.12676E-02
-5.9912352E+00,-7.93574E-02
-5.9911434E+00,1.97637E-02
-5.9910516E+00,2.07402E-02
-5.9909598E+00,-4.95723E-02
-5.9908680E+00,-6.32441E-02
-5.9907762E+00,1.58574E-02
-5.9906844E+00,4.07598E-02
-5.9905926E+00,-2.90645E-02
-5.9905008E+00,1.78105E-02
-5.9904090E+00,-7.78926E-02
-5.9903172E+00,7.59160E-02
-5.9902254E+00,-4.85957E-02
-5.9901336E+00,3.34355E-02
-5.9900418E+00,-7.98457E-02
-5.9899500E+00,5.68730E-02
-5.9898582E+00,-1.97871E-02
-5.9897664E+00,-5.98262E-02
-5.9896746E+00,2.67383E-03
-5.9895828E+00,6.27324E-02
-5.9894910E+00,6.76152E-02
-5.9893992E+00,-7.74043E-02
-5.9893074E+00,7.78691E-02
-5.9892156E+00,-3.83418E-02
-5.9891238E+00,-7.30098E-02
-5.9890320E+00,7.49395E-02
-5.9889402E+00,2.41582E-02
-5.9888484E+00,-4.56660E-02
-5.9887566E+00,6.07793E-02
-5.9886648E+00,-4.81074E-02
-5.9885730E+00,3.97832E-02
-5.9884812E+00,-5.44551E-02
-5.9883894E+00,5.05254E-02
-5.9882976E+00,3.63652E-02
-5.9882058E+00,-7.69160E-02
-5.9881140E+00,-4.46895E-02
-5.9880222E+00,7.24980E-02
-5.9879304E+00,-8.17988E-02
-5.9878386E+00,5.93145E-02
-5.9877468E+00,5.68730E-02
-5.9876550E+00,-1.24629E-02
-5.9875632E+00,7.10332E-02
-5.9874714E+00,6.61504E-02
-5.9873796E+00,-7.15449E-02
-5.9872878E+00,8.12871E-02
-5.9871960E+00,-8.17988E-02
-5.9871042E+00,2.70879E-02
-5.9870124E+00,-4.66426E-02
-5.9869206E+00,6.22441E-02
-5.9868288E+00,3.92949E-02
-5.9867370E+00,1.63457E-02
-5.9866452E+00,-7.74043E-02
-5.9865534E+00,3.53887E-02
-5.9864616E+00,1.82988E-02
-5.9863698E+00,-6.71504E-02
-5.9862780E+00,3.34355E-02
-5.9861862E+00,-1.88105E-02
-5.9860944E+00,-3.93184E-02
-5.9860026E+00,8.03105E-02
-5.9859108E+00,-7.00801E-02
-5.9858190E+00,7.34746E-02
-5.9857272E+00,-5.00605E-02
-5.9856354E+00,-8.03340E-02
-5.9855436E+00,7.24980E-02
-5.9854518E+00,-7.69160E-02
-5.9853600E+00,5.83379E-02
-5.9852682E+00,-3.78535E-02
-5.9851764E+00,7.10332E-02
-5.9850846E+00,2.36699E-02
-5.9849928E+00,-2.36934E-02
-5.9849010E+00,-7.15449E-02
-5.9848092E+00,-2.66230E-02
-5.9847174E+00,4.51543E-02
-5.9846256E+00,5.88262E-02
-5.9845338E+00,-7.15449E-02
-5.9844420E+00,4.51543E-02
-5.9843502E+00,7.15215E-02
-5.9842584E+00,-7.88691E-02
-5.9841666E+00,7.24980E-02
-5.9840748E+00,-8.03340E-02
-5.9839830E+00,5.10137E-02
-5.9838912E+00,3.14824E-02
-5.9837994E+00,-7.93574E-02
-5.9837076E+00,2.26934E-02
-5.9836158E+00,4.17363E-02
-5.9835240E+00,-3.93184E-02
-5.9834322E+00,6.71270E-02
-5.9833404E+00,2.31816E-02
-5.9832486E+00,6.46855E-02
-5.9831568E+00,-8.08223E-02
-5.9830650E+00,4.80840E-02
-5.9829732E+00,5.19902E-02
-5.9828814E+00,6.07793E-02
-5.9827896E+00,3.92949E-02
-5.9826978E+00,-5.25020E-02
-5.9826060E+00,-7.88691E-02
-5.9825142E+00,-9.04492E-03
-5.9824224E+00,7.64043E-02
-5.9823306E+00,-6.47090E-02
-5.9822388E+00,-3.19941E-02
-5.9821470E+00,1.20898E-03
-5.9820552E+00,-5.64082E-02
-5.9819634E+00,4.17363E-02
-5.9818716E+00,-1.72070E-03
-5.9817798E+00,6.32207E-02
-5.9816880E+00,6.76152E-02
-5.9815962E+00,4.51543E-02
-5.9815044E+00,-5.20137E-02
-5.9814126E+00,5.93145E-02
-5.9813208E+00,-8.22871E-02
-5.9812290E+00,-2.22285E-02
-5.9811372E+00,5.68730E-02
-5.9810454E+00,-2.46699E-02
-5.9809536E+00,-8.22871E-02
-5.9808618E+00,-7.88691E-02
-5.9807700E+00,-3.63887E-02
-5.9806782E+00,6.85918E-02
-5.9805864E+00,3.09941E-02
-5.9804946E+00,-8.47285E-02
-5.9804028E+00,1.24395E-02
-5.9803110E+00,2.56230E-02
-5.9802192E+00,6.61504E-02
-5.9801274E+00,-7.05684E-02
-5.9800356E+00,4.12480E-02
-5.9799438E+00,4.51543E-02
-5.9798520E+00,6.51738E-02
-5.9797602E+00,1.63457E-02
-5.9796684E+00,7.24980E-02
-5.9795766E+00,7.00566E-02
-5.9794848E+00,4.36895E-02
-5.9793930E+00,6.58008E-03
-5.9793012E+00,-8.27754E-02
-5.9792094E+00,4.27129E-02
-5.9791176E+00,6.76152E-02
-5.9790258E+00,-4.56660E-02
-5.9789340E+00,-7.78926E-02
-5.9788422E+00,-5.39668E-02
-5.9787504E+00,1.69727E-03
-5.9786586E+00,6.51738E-02
-5.9785668E+00,-2.32051E-02
-5.9784750E+00,-8.17988E-02
-5.9783832E+00,-5.44551E-02
-5.9782914E+00,6.17559E-02
-5.9781996E+00,-3.24824E-02
-5.9781078E+00,-4.65039E-03
-5.9780160E+00,6.02910E-02
-5.9779242E+00,-7.30098E-02
-5.9778324E+00,-6.37324E-02
-5.9777406E+00,-2.90645E-02
-5.9776488E+00,-5.20137E-02
-5.9775570E+00,5.00371E-02
-5.9774652E+00,-1.05098E-02
-5.9773734E+00,-4.71309E-02
-5.9772816E+00,-8.55664E-03
-5.9771898E+00,6.85918E-02
-5.9770980E+00,-8.13105E-02
-5.9770062E+00,7.59160E-02
-5.9769144E+00,-3.29707E-02
-5.9768226E+00,4.02715E-02
-5.9767308E+00,6.71270E-02
-5.9766390E+00,-7.64277E-02
-5.9765472E+00,-1.88105E-02
-5.9764554E+00,-3.59004E-02
-5.9763636E+00,6.02910E-02
-5.9762718E+00,-4.22480E-02
-5.9761800E+00,1.92754E-02
-5.9760882E+00,6.22441E-02
-5.9759964E+00,-7.93574E-02
-5.9759046E+00,5.05254E-02
-5.9758128E+00,5.58965E-02
-5.9757210E+00,-6.76387E-02
-5.9756292E+00,-2.32051E-02
-5.9755374E+00,6.27324E-02
-5.9754456E+00,-7.20332E-02
-5.9753538E+00,-4.12715E-02
-5.9752620E+00,7.06836E-03
-5.9751702E+00,1.39043E-02
-5.9750784E+00,2.67383E-03
-5.9749866E+00,-3.05293E-02
-5.9748948E+00,-6.81270E-02
-5.9748030E+00,3.58770E-02
-5.9747112E+00,4.02715E-02
-5.9746194E+00,-6.11523E-03
-5.9745276E+00,-7.83809E-02
-5.9744358E+00,5.00371E-02
-5.9743440E+00,-4.32246E-02
-5.9742522E+00,8.04492E-03
-5.9741604E+00,5.98027E-02
-5.9740686E+00,-7.69160E-02
-5.9739768E+00,5.44316E-02
-5.9738850E+00,-3.44355E-02
-5.9737932E+00,7.05449E-02
-5.9737014E+00,-3.44355E-02
-5.9736096E+00,1.48809E-02
-5.9735178E+00,-2.32051E-02
-5.9734260E+00,7.34746E-02
-5.9733342E+00,-7.58008E-03
-5.9732424E+00,-8.03340E-02
-5.9731506E+00,2.80645E-02
-5.9730588E+00,4.90605E-02
-5.9729670E+00,4.85723E-02
-5.9728752E+00,-6.03145E-02
-5.9727834E+00,-7.88691E-02
-5.9726916E+00,-8.08223E-02
-5.9725998E+00,-6.47090E-02
-5.9725080E+00,-1.58809E-02
-5.9724162E+00,7.20098E-02
-5.9723244E+00,-7.05684E-02
-5.9722326E+00,7.00566E-02
-5.9721408E+00,2.56230E-02
-5.9720490E+00,-7.30098E-02
-5.9719572E+00,7.83574E-02
-5.9718654E+00,-8.27754E-02
-5.9717736E+00,3.83184E-02
-5.9716818E+00,8.53320E-03
-5.9715900E+00,6.95684E-02
-5.9714982E+00,-1.24629E-02
-5.9714064E+00,-6.37324E-02
-5.9713146E+00,-6.76387E-02
-5.9712228E+00,6.56621E-02
-5.9711310E+00,-8.42402E-02
-5.9710392E+00,7.59160E-02
-5.9709474E+00,-5.68965E-02
-5.9708556E+00,-7.54512E-02
-5.9707638E+00,8.42168E-02
-5.9706720E+00,-3.10176E-02
-5.9705802E+00,6.76152E-02
-5.9704884E+00,3.44121E-02
-5.9703966E+00,-5.15254E-02
-5.9703048E+00,-2.17402E-02
-5.9702130E+00,7.64043E-02
-5.9701212E+00,-6.71504E-02
-5.9700294E+00,7.05449E-02
-5.9699376E+00,5.88262E-02
-5.9698458E+00,-4.37129E-02
-5.9697540E+00,4.17363E-02
-5.9696622E+00,-6.86152E-02
-5.9695704E+00,-2.61348E-02
-5.9694786E+00,6.22441E-02
-5.9693868E+00,-7.83809E-02
-5.9692950E+00,7.83574E-02
-5.9692032E+00,7.06836E-03
-5.9691114E+00,-6.66621E-02
-5.9690196E+00,8.12871E-02
-5.9689278E+00,3.34355E-02
-5.9688360E+00,-5.73848E-02
-5.9687442E+00,7.49395E-02
-5.9686524E+00,-6.03145E-02
-5.9685606E+00,7.34746E-02
-5.9684688E+00,-6.86152E-02
-5.9683770E+00,3.39238E-02
-5.9682852E+00,5.24785E-02
-5.9681934E+00,-7.88691E-02
-5.9681016E+00,-9.53320E-03
-5.9680098E+00,4.22246E-02
-5.9679180E+00,4.36895E-02
-5.9678262E+00,-7.10566E-02
-5.9677344E+00,7.93340E-02
-5.9676426E+00,8.04492E-03
-5.9675508E+00,-6.32441E-02
-5.9674590E+00,6.37090E-02
-5.9673672E+00,7.15215E-02
-5.9672754E+00,-1.34395E-02
