Time(s),Voltage(V)
-5.9996808,-0.0161934
-5.999589,0.0057793
-5.9994972,-0.00154492
-5.9994054,-0.0113105
-5.9993136,-0.0298652
-5.9992218,-0.00496289
-5.99913,-0.00496289
-5.9990382,-0.0181465
-5.9989464,-0.0196113
-5.9988546,-0.0152168
-5.9987628,-0.0152168
-5.998671,-0.00545117
-5.9985792,-0.00545117
-5.9984874,-0.0117988
-5.9983956,-0.0113105
-5.9983038,-0.00789258
-5.998212,-0.0240059
-5.9981202,-0.0249824
-5.9980284,-0.0147285
-5.9979366,-0.00935742
-5.9978448,-0.00349805
-5.997753,-0.0074043
-5.9976612,-0.010334
-5.9975694,-0.025959
-5.9974776,-0.0200996
-5.9973858,-0.038166
-5.997294,-0.0323066
-5.9972022,-0.022541
-5.9971104,-0.0152168
-5.9970186,-0.0215645
-5.9969268,-0.010334
-5.996835,-0.022541
-5.9967432,-0.0230293
-5.9966514,-0.00886914
-5.9965596,-0.0117988
-5.9964678,-0.0132637
-5.996376,-0.0166816
-5.9962842,-0.0098457
-5.9961924,-0.00447461
-5.9961006,-0.0117988
-5.9960088,-0.00789258
-5.995917,-0.0152168
-5.9958252,-0.00154492
-5.9957334,-0.0117988
-5.9956416,-0.0108223
-5.9955498,-0.0132637
-5.995458,-0.00593945
-5.9953662,-0.00349805
-5.9952744,-0.0074043
-5.9951826,-0.000568359
-5.9950908,0.0389824
-5.994999,-0.00496289
-5.9949072,-0.0200996
-5.9948154,-0.0113105
-5.9947236,-0.00642773
-5.9946318,-0.00545117
-5.99454,0.000408203
-5.9944482,-0.00691602
-5.9943564,-0.0127754
-5.9942646,-0.0020332
-5.9941728,-0.010334
-5.994081,-0.00789258
-5.9939892,-0.010334
-5.9938974,-0.00105664
-5.9938056,-0.0122871
-5.9937138,-0.00838086
-5.993622,-0.00593945
-5.9935302,-0.010334
-5.9934384,-0.00545117
-5.9933466,-0.00398633
-5.9932548,-0.00447461
-5.993163,-0.0074043
-5.9930712,-0.00154492
-5.9929794,-0.0074043
-5.9928876,-0.0161934
-5.9927958,-0.0074043
-5.992704,-0.0020332
-5.9926122,-0.0284004
-5.9925204,0.00724414
-5.9924286,0.012127
-5.9923368,-0.0117988
-5.992245,0.00529102
-5.9921532,-0.00593945
-5.9920614,-0.00398633
-5.9919696,0.00284961
-5.9918778,-0.0205879
-5.991786,-0.00789258
-5.9916942,-0.00252148
-5.9916024,-0.0074043
-5.9915106,0.0262871
-5.9914188,-0.0215645
-5.991327,-0.000568359
-5.9912352,-0.00496289
-5.9911434,-0.00349805
-5.9910516,0.00431445
-5.9909598,0.0106621
-5.990868,0.0126152
-5.9907762,0.00382617
-5.9906844,0.000896484
-5.9905926,0.00724414
-5.9905008,0.00382617
-5.990409,-0.00349805
-5.9903172,0.00480273
-5.9902254,0.00773242
-5.9901336,0.0106621
-5.9900418,0.0106621
-5.98995,0.00773242
-5.9898582,0.0082207
-5.9897664,0.00480273
-5.9896746,0.012127
-5.9895828,0.00870898
-5.989491,0.00333789
-5.9893992,0.0126152
-5.9893074,0.0116387
-5.9892156,0.0101738
-5.9891238,0.0126152
-5.989032,0.0057793
-5.9889402,0.012127
-5.9888484,0.00773242
-5.9887566,0.00773242
-5.9886648,0.00431445
-5.988573,0.00431445
-5.9884812,-0.0401191
-5.9883894,0.00138477
-5.9882976,0.0135918
-5.9882058,0.0272637
-5.988114,0.0170098
-5.9880222,0.0145684
-5.9879304,-0.00349805
-5.9878386,0.00529102
-5.9877468,0.00675586
-5.987655,0.00138477
-5.9875632,0.0238457
-5.9874714,0.0204277
-5.9873796,0.0233574
-5.9872878,0.0160332
-5.987196,0.0370293
-5.9871042,0.017498
-5.9870124,0.00919727
-5.9869206,0.0238457
-5.9868288,0.0189629
-5.986737,0.0155449
-5.9866452,0.0214043
-5.9865534,0.0267754
-5.9864616,0.0126152
-5.9863698,0.00724414
-5.986278,0.00626758
-5.9861862,0.00480273
-5.9860944,-0.000568359
-5.9860026,0.00529102
-5.9859108,0.000896484
-5.985819,0.0057793
-5.9857272,0.0082207
-5.9856354,0.0057793
-5.9855436,0.00529102
-5.9854518,-0.00447461
-5.98536,-0.00447461
-5.9852682,0.00382617
-5.9851764,-0.00398633
-5.9850846,-0.00398633
-5.9849928,0.0106621
-5.984901,0.0150566
-5.9848092,0.012127
-5.9847174,0.00675586
-5.9846256,0.00480273
